bibcode,title,author,pubdate,url,abstract,keywords
2013LPICo1766.1035H,Astrobiological Research on Tardigrades: Implications for Extraterrestrial Life Forms,"Horikawa, D. D.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1035,Tardigrades have been considered as a model for astrobiological studies based on their tolerance to extreme environments. Future research on tardigrades might provide important insight into the possibilities of existence of multicellular life forms.,
2013LPICo1766.1036B,Bioimaging by X-Ray Laser Diffraction at SACLA,"Bessho, Y.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1036,"The XFEL facility, SACLA is soon expected to be useful for new bioimaging method with an accuracy on the order of ten femto-seconds. We recorded coherent X-ray diffraction patterns from intact Microbacterium cells in solution at SACLA.",
2013LPICo1766.1037O,Search for Habitable Planets Around Low-Mass Stars Using the InfraRed Doppler Instrument,"Omiya, M.; Sato, B.; Harakawa, H.; Kuzuhara, M.; Hirano, T.; Narita, N.; IRD Team",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1037,We present strategies and plans for a new Doppler exoplanet survey of late-M dwarf stars to search for Earth-mass planets in the habitable zone around low-mass stars using a new near-infrared instrument for the Subaru telescope (IRD).,
2013LPICo1766.1038T,Silica Aerogel for Use in Cosmic Dust Collectors Utilized in the Tanpopo Mission,"Tabata, M.; Yano, H.; Kawai, H.; Imai, E.; Hashimoto, H.; Yokobori, S.; Yamagishi, A.; Tanpopo Working Group",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1038,"We are developing silica aerogels for use in cosmic dust collectors utilized in the Tanpopo mission. In this paper, we present the recent development of a box-framing aerogel in contamination-controlled environments.",
2013LPICo1766.1039U,Conditions of Surface H_2O of Snowball Planets with High-Pressure Ice,"Ueta, S.; Sasaki, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1039,We discuss the conditions that terrestrial planets must satisfy for an internal ocean to exist by considering the effects of ice under high pressure (high-pressure ice). Such high-pressure ice is likely to affect the habitability of the planet.,
2013LPICo1766.1040Y,"Tanpopo: Astrobiology Exposure and Micrometeoroid Capture, a Sample Return Experiment to Test Quasi-Panspermia Hypothesis Onboard the ISS-Kibo Exposed Facility","Yano, H.; Yamagishi, A.; Hashimoto, H.; Yokobori, S.; Kobayashi, K.; Yabuta, H.; Mita, H.; Tabata, M.; Kawai, H.; Higashide, M.; Okudaira, K.; Sasaki, S.; Imai, E.; Kawaguchi, Y.; Uchibori, Y.; Kodaira, S.; Tanpopo Project Team",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1040,"As the first Japanese astrobiology experiment in space, the Tanpopo will test key concepts of the quasi-panspermia hypothesis by sample returns of microbe and bio-orgaincs exposure and micrometeoroid capture onboard ISS-Kibo Exposed Facility ExHAM.",
2013LPICo1766.1041H,Global Census of Microbial Life in Marine Subsurface Sediments,"Hoshino, T.; Tsutsumi, M.; Morono, Y.; Inagaki, F.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1041,"Using newly developed molecular ecological approaches, we are conducting global census of microbial life in marine subsurface sediments and provide us a new information of absolute quantify of the microbes in the deep subseafloor biosphere.",
2013LPICo1766.1042J,Metamorphosed Clasts in the CV Carbonaceous Chondrite Breccias Mokoia and Yamato 86009: Evidence for Strong Thermal Metamorphism on the CV Parent Asteroid,"Jogo, K.; Krot, A. N.; Nagashima, K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1042,"We describe the mineralogy, petrography, and O-isotope compositions of the metamorphosed clasts in the CV chondrites. Obtained data suggest that the clasts formed by thermal metamorphism of heavily-altered chondrites on the CV parent asteroid.",
2013LPICo1766.1043O,Puzzles of Biochemistry of Extraterrestrial Life,"Oshima, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1043,Biological exclusion principles are briefly explained. The author would like to discuss whether or not the exclusion principle can also be applied on biochemistry and molecular biology of extraterrestrial life.,
2013LPICo1766.1044I,Ultra High Spatial Resolution Ion Imaging with a NanoSIMS Ion Microprobe: Applications to Astrobiology,"Ito, M.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1044,NanoSIMS ion imaging is a powerful tool to investigate elemental and isotopic distribution with ultra high spatial resolution for variety of samples. We will present overview of current researches on microbiology and cosmochemistry using NanoSIMS.,
2013LPICo1766.1045S,Brown Dwarfs Atmospheres Revealed by 2.5-5.0 µm AKARI Spectra,"Sorahana, S.; Yamamura, I.; Suzuki, T. K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1045,"Brown dwarf atmospheres cannot be determined by models with simple radiative equilibrium and solar metallicity. By comparing AKARI data with our improved models, we attempt to understand the complicated structure of brown dwarf atmospheres.",
2013LPICo1766.1048I,AKARI Observations of Interstellar Polycyclic Aromatic Hydrocarbons,"Ishihara, D.; Kaneda, H.; Oyabu, S.; Kondo, T.; Yamagishi, M.; Yasuda, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1048,"We review the results from AKARI observations of PAHs. We also discuss our future prospect for this study using the next Japan-led infrared space mission, SPICA.",
2013LPICo1766.1049S,Overview of Japan's MELOS1 Mission: Mars Exploration for Life/Organism Search,"Satoh, T.; Kubota, T.; Fujita, K.; Okada, T.; Iwata, T.; Imamura, T.; Oyama, A.; Ogawa, N.; Yamada, K.; Miyamoto, H.; Yamagishi, A.; Komatsu, G.; Usui, T.; Hashimoto, G. L.; Demura, H.; Senshu, H.; Sasaki, S.; Ishigami, G.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1049,"We overview the current plan of Japan's MELOS1 Mars mission which we would like to launch early 2020's. The sceintific target, its significance in broader areas of science, and a brief summary of probe system and mission scenario will be presented.",
2013LPICo1766.1050T,"Intact Capture, Aerogel, SOCCER, Stardust and LIFE","Tsou, P.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1050,"In order to definitively determine many complex exploration curiosities, we must bring samples to terrestrial laboratories for detailed analyses by collaborating laboratories and analysts. We report this endeavor in SOCCER, NEARER, Stardust and LIFE.",
2013LPICo1766.1051N,Can Terrestrial Microbes Grow on Mars?,"Nicholson, W. L.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1051,"Recent work in our laboratory has concentrated on investigating the possibility that prokaryotes from Earth could either (i) live on Mars in their current form, or (ii) evolve the ability to live under Mars conditions.",
2013LPICo1766.1056T,The Faint Young Sun Problem — How Can Early Earth and Mars be Warmed?,"Tian, F.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1056,We will review the new progress related to the faint young sun problem of Earth/Mars and link it to the habitability of known exoplantets.,
2013LPICo1766.1057U,The Pure System for Artificial Cells,"Ueda, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1057,"The ultimate goal of biology is to obtain the answer to the question, ""what is life?"" We have two approaches to reach the goal: analytical and synthetic.",
2013LPICo1766.1058A,Simplification of the Genetic Code: Restricted Diversity of Genetically Encoded Amino Acids,"Amikura, K.; Kawahara-Kobayashi, A.; Kiga, D.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1058,"We will show the generality of our method for the simplification, by constructing other types of further simplified codes including a 16-amino-acid code.",
2013LPICo1766.1059B,RNA and the Nature of the Last Common Ancestor,"Becerra, A.; Islas, S.; Hernandez-Morales, R.; Lazcano, A.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1059,It is possible to reconstruct some of the characteristics of the last universal common ancestor or cenancestor.,
2013LPICo1766.1060I,Darwinian Evolution in a Translation-Coupled RNA Replication System Within a Cell-Like Compartment,"Ichihashi, N.; Usui, K.; Yomo, T.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1060,The construction of an artificial cell or model protocell is hypothesized to provide important insights into the emergence of life from an assembly of non-living molecules.,
2013LPICo1766.1061K,Variation of Genetic Alphabets of Nucleobases,"Kimoto, M.; Hirao, I.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1061,"Nucleic acids are unique biopolymers, which work as both genetic information materials and functional molecules, such as a catalyst and ligands.",
2013LPICo1766.1062K,"""Deep Habitat"" in the Icy Moons: Structure and Evolution of the Internal Ocean","Kimura, J.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1062,Outer solar system may have a potential habitat of extra-terrestrial life.,
2013LPICo1766.1063T,Did Oceanic Biogenic Methan Cycling Regulate the Evolution of Early Earth Atmospheric Chemistry?,"Thomazo, C.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1063,One of the most remarkable changes in the Earth surface chemistry of our planet history was the biologically induced pervasive oxygenation of the ocean and atmosphere between 2.45 and 2.32 Ga.,
2013LPICo1766.1064M,From Origin of Life to Systematization to Astrobiology,"Maruyama, S.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1064,"Our proposed research is one of the biggest mysteries in science: ""The Origin and Evolution of Life.""",
2013LPICo1766.1065N,Toward Detections and Characterization of Habitable Transiting Exoplanets,"Narita, N.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1065,The Kepler mission led by NASA has discovered dozens of possible habitable explanets by the transite survey method.,
2013LPICo1766.1066J,Exploration of Jovian System by ESA-JUICE-Mission: Participation of Japanese Teams,"Juice Japan; Saito, Y.; Fujimoto, M.; Sasaki, S.; Kimura, J.; Namiki, N.; Kasai, Y.; Kasaba, Y.; Asamura, K.",2013-11-00,https://www.hou.usra.edu/meetings/labam2013/pdf/1066,JUICE (Jupiter Icy Moon Explorer) is the ESA's first large-class mission of cosmic vision 2015-2025 program.,
2016LPICo1912.2085C,Steamboat Spring Field Trip Overview,"Calvin, W. C.; Farmer, J. D.",2016-05-00,https://www.hou.usra.edu/meetings/biosignature2016/pdf/2085.pdf,,
2017LPICo2041.5005R,Geological Spacesuit Testing,"Runyon, K. D.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5005.pdf,Adapting terrestrial field geology techniques for use in a spacesuit is a science-exploration synergistic goal that I am able to support as a qualified spacesuit test subject and geologist.,
2017LPICo2041.5008C,A Space Commodities Futures Trading Exchange to Grow the Lunar Economy,"Cahan, B. B. C.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5008.pdf,"This paper proposes to establish a Space Commodities Futures Trading Exchange in order to define and trade essential commodities that, when traded on an open exchange, improve availability, quality, price discovery, financeability, and equal access.",
2017LPICo2041.5011Y,Supporting Future Lunar Surface Exploration Through Ongoing Field Activities,"Young, K. E.; Graff, T. G.; Bleacher, J. E.; Coan, D.; Whelley, P. L.; Garry, W. B.; Kruse, S.; Reagan, M.; Garrison, D.; Miller, M.; Delgado, F.; Rogers, A. D.; Glotch, T. D.; Evans, C. A.; Naids, A.; Walker, M.; Hood, A.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5011.pdf,"We present results from several ongoing field deployments that are working to explore 1) lunar surface trafficability, 2) radiation shielding, and 3) lunar habitat, life support, and mobility.",
2017LPICo2041.5012H,Astrobotic's Payload Delivery Services Enables Lunar Surface Activities,"Hendrickson, D. B.; Thornton, J. M.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5012.pdf,"This paper describes Astrobotic's lunar payload delivery service, along with the latest program developments toward the company's first demonstration of service.",
2017LPICo2041.5013B,Science from the Surface of the Moon: A Rover Traversing a Crustal Magnetic Anomaly,"Blewett, D. T.; Hurley, D. M.; Denevi, B. W.; Cahill, J. T. S.; Klima, R. L.; Plescia, J. B.; Paranicas, C. P.; Greenhagen, B. T.; Tunstel, E. W.; Anderson, B. A.; Korth, H.; Ho, G. C.; Nunez, J. I.; Hibbitts, C. A.; Stanley, S.; Jozwiak, L.; Daly, T.; Johnson, J. R.; Zimerman, M. I.; Brandt, P. C.; Westlake, J. H.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5013.pdf,"An in situ investigation of a magnetic anomaly would directly address major sets of questions in planetary magnetism, space plasma physics, lunar geology, space weathering, and the lunar water cycle, as well as human exploration SKGs.",
2017LPICo2041.5014K,Conducting Subsurface Surveys for Water Ice Using Ground Penetrating Radar and a Neutron Spectrometer on the Lunar Electric Rover,"Kring, D. A.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5014.pdf,Teleoperation of the Lunar Electric Rover can survey large areas of the Moon for subsurface volatile deposits in permanently shadowed regions such as Cabeus and Amundsen craters.,
2017LPICo2041.5015G,Interaction of Space Radiation with Agriculture on the Moon,"Guven, U. G.; Goel, E. G.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5015.pdf,"This paper proposes to understand the effects of GCR and SEP on the plants and agriculture, which is the primary step to colonization at any celestial site. This paper is dedicated to achieve this understanding to aid plantation missions on the Moon.",
2017LPICo2041.5016G,The Future Lunar Flora Colony,"Goel, E. G.; Guven, U. G.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5016.pdf,A constructional design for the primary establishment for a lunar colony using the micrometeorite rich soil is proposed. It highlights the potential of lunar regolith combined with Earth technology for water and oxygen for human outposts on the Moon.,
2017LPICo2041.5017N,Recent Achievement by the SSERVI ALSEP Data Recovery Focus Group,"Nagihara, S.; Nakamura, Y.; Williams, D. R.; Taylor, P. T.; McLaughlin, S. A.; Hills, H. K.; Kiefer, W. S.; Weber, R. C.; Dimech, J. -L.; Phillips, D.; Nunn, C.; Schmidt, G. K.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5017.pdf,We report recent research progress made by the SSERVI ALSEP Data Recovery Focus Group.,
2017LPICo2041.5018G,Quantifying Elements of a Lunar Economy Based on Resource Needs,"Greenblatt, J. B.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5018.pdf,"We model a simplified lunar economy from human life support, Earth materials consumption, and energy and propulsion requirement estimates, constrained by lunar elemental abundances; estimate likely imports/exports and ""gross interplanetary product.""",
2017LPICo2041.5019B,Astrobotic: Peregrine Lunar Lander Technical Program Update,"Bhaskaran, S.; Hopkins, J. K.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5019.pdf,"This paper describes the latest developments in Astrobotic's lunar lander mission program. Topics addressed here include program updates, technical updates, and a summary of our approach.",
2017LPICo2041.5020S,Launch Services for the Moon,"Sampson, M. S.",2017-10-00,https://www.hou.usra.edu/meetings/leag2017/pdf/5020.pdf,"One of the next frontiers is the Moon. United Launch Alliance (ULA) has extensive experience with launching delicate, exquisite payloads throughout our solar system, including the Moon. ULA's ACES/XEUS provides lunar surface delivery.",
