bibcode,url,title,abstract,pubdate,author,keywords
2007LPICo1371.3010J,https://www.lpi.usra.edu/meetings/leag2007/pdf/3010.pdf,"Lunar Exploration Orbiter (LEO): Providing a Globally Covered, Highly Resolved, Integrated Geological, Geochemical and Gephysical Data Base of the Moon",,2007-10-00,"Jaumann, R.; Spohn, T.; Hiesinger, H.; Jessberger, E. K.; Neukum, G.; Oberst, J.; Helbert, J.; Christensen, U.; Keller, H. U.; Mall, U.; Boehnhardt, H.; Hartogh, P.; Glassmeier, K. -H.; Auster, H. -U.; Moraira, A.; Werner, M.; Paetzold, M.; Palme, H.; Wimmer-Schweingruber, R.; Mandea, M.; Flechtner, F.; Lesure, V.; Häusler, B.; Srama, R.; Kempf, S.; Hördt, A.; Eichentopf, K.; Hauber, E.; Hoffmann, H.; Köhler, U.; Kührt, E.; Michaelis, H.; Pauer, M.; Sohl, F.; Denk, T.; van Gasselt, S.",
2007LPICo1371.3011S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3011.pdf,Scientific Contributions of Lunar Robotic Precursor Missions,,2007-10-00,"Spudis, P. D.",
2007LPICo1371.3012D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3012.pdf,The Things We Most Need to Learn at the Moon to Support the Subsequent Human Exploration of Mars,,2007-10-00,"Drake, B. G.; Beaty, D.; Tahu, G.; Hoffman, S.; Tripathi, A.",
2007LPICo1371.3013B,https://www.lpi.usra.edu/meetings/leag2007/pdf/3013.pdf,Biotechnologies at Lunar Outpost and Beyond,,2007-10-00,"Brown, I. I.; Jones, J. A.; Garrison, D.; Bayless, D.; Sarkisova, S. A.; Sanders, G. B.; McKay, D. S.",
2007LPICo1371.3014S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3014.pdf,Scientific and Resource Characterization of Lunar Regolith Using Dielectric Spectroscopy,,2007-10-00,"Stillman, D. E.; Grimm, R. E.",
2007LPICo1371.3015C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3015.pdf,Establishment of a Wireless Mesh Network and Positional Awareness System in a Mars Analogue Environment,,2007-10-00,"Clardy, T. W.; Fristad, K. E.; Rask, J. C.; McKay, C. P.",
2007LPICo1371.3016H,https://www.lpi.usra.edu/meetings/leag2007/pdf/3016.pdf,Lunar Crater Observation and Sensing Satellite (LCROSS) Mission: Opportunities for Observations of the Impact Plumes from Ground-based and Space-based Telescopes,,2007-10-00,"Heldmann, J. L.; Colaprete, T.; Wooden, D.; Asphaug, E.; Schultz, P.; Plesko, C. S.; Ong, L.; Korycansky, D.; Galal, K.; Briggs, G.",
2007LPICo1371.3017C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3017.pdf,An Overview of the Lunar Crater Observation and Sensing Satellite (LCROSS) Mission - An ESMD Mission to Investigate Lunar Polar Hydrogen,,2007-10-00,"Colaprete, A.; Briggs, G.; Ennico, K.; Wooden, D.; Heldmann, J. L.; Sollitt, L.; Asphaug, E.; Schultz, P.; Christensen, A.; Galal, K.",
2007LPICo1371.3018H,https://www.lpi.usra.edu/meetings/leag2007/pdf/3018.pdf,Interim Results from the MEPAG Human Exploration of Mars Science Analysis Group (HEM-SAG),,2007-10-00,"Heldmann, J. L.; Levine, J.; Garvin, J.; Beaty, D.; Bell, M. S.; Clancy, T.; Cockell, C. S.; Delory, G.; Dickson, J.; Elphic, R.; Eppler, D.; Fernandez-Remolar, D.; Gruener, J.; Head, J. W.; Helper, M.; Hipkin, V.; Lane, M.; Levy, J.; Millikan, R.; Moersch, J.; Ori, G.; Peach, L.; Poulet, F.; Rice, J.; Snook, K.; Squyres, S.; Zimbelman, J.",
2007LPICo1371.3019W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3019.pdf,Small Spacecraft in Support of the Lunar Exploration Program,,2007-10-00,"Worden, S. P.; Weston, A. R.",
2007LPICo1371.3020E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3020.pdf,"LCROSS Science Payload Ground Development, Test, and Calibration Results",,2007-10-00,"Ennico, K.; Colaprete, A.; Wooden, D.; Heldmann, J. L.; Lynch, D.; Kojima, G.; Shirley, M.",
2007LPICo1371.3023W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3023.pdf,"Flash LIDAR Systems for Hazard Detection, Surface Navigation and Autonomous Rendezvous and Docking",,2007-10-00,"Weinberg, J. D.; Craig, R.; Earhart, P.; Gravseth, I.; Miller, K. L.",
2007LPICo1371.3024T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3024.pdf,The Idea of a Student Built Lunar Orbiter,,2007-10-00,"Tietz, S.",
2007LPICo1371.3025G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3025.pdf,Rocket Dispersed Instruments: A Mission Architecture for Exploring Lunar Polar Hydrogen,,2007-10-00,"Garrick-Bethell, I.; West, J. J.; Lawrence, D. J.; Elphic, R. C.",
2007LPICo1371.3026P,https://www.lpi.usra.edu/meetings/leag2007/pdf/3026.pdf,Making the Moon Accessible to Everyone,,2007-10-00,"Pimenta, M.",
2007LPICo1371.3027C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3027.pdf,"Planetary Protection and Implications for Lunar Mission Planning: Science, Technology, and Feed-Forward to Mars",,2007-10-00,"Conley, C. A.; Race, M.",
2007LPICo1371.3028M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3028.pdf,Spaceward Bound: Field Training for the Next Generation of Space Explorers,,2007-10-00,"McKay, C. P.; Coe, L. K.; Battler, M.; Bazar, D.; Conrad, L.; Day, B.; Fletcher, L.; Green, R.; Heldmann, J.; Muscatello, T.; Rask, J. C.; Smith, H.; Sun, H.; Zubrin, R.",
2007LPICo1371.3029G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3029.pdf,Technology and Techniques for Paleomagnetic Studies at the Lunar Poles,,2007-10-00,"Garrick-Bethell, I.; Weiss, B. P.",
2007LPICo1371.3030L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3030.pdf,Lunar Robotic Precursor Program Status,,2007-10-00,"Lavoie, T.; Bassler, J.; Jacobson, D.",
2007LPICo1371.3031M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3031.pdf,Commercial Development of the Moon: The Great Lunar Depository,,2007-10-00,"McKay, D. S.",
2007LPICo1371.3033C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3033.pdf,Optimizing Instrument Packages for the Lunar Surface,,2007-10-00,"Clark, P. E.; Lewis, R.; Leshin, L.",
2007LPICo1371.3034P,https://www.lpi.usra.edu/meetings/leag2007/pdf/3034.pdf,Hydrogen: A Strategy for Assessing the Key Element for the Lunar Outpost,,2007-10-00,"Plescia, J.; Spudis, P.; Bussey, B.; Elphic, R.; Nozette, S.; Phipps, A.",
2007LPICo1371.3035F,https://www.lpi.usra.edu/meetings/leag2007/pdf/3035.pdf,"Returm to the Moon: Ethical, Cultural and Social Aspects - Initial Approaches to These Complex Themes with a Geological Perspective",,2007-10-00,"Fernandes, V. A.; Cohen, B. A.; Fritz, J.; Jessberger, E. K.",
2007LPICo1371.3036C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3036.pdf,ISRU Will Make the Difference Between Going Back to the Moon to Visit and Going Back to the Moon to Stay,,2007-10-00,"Cooper, B. L.; Schrunk, D. G.",
2007LPICo1371.3037K,https://www.lpi.usra.edu/meetings/leag2007/pdf/3037.pdf,"Reducing the Risk, Requirements, and Cost of the Human Exploration Phase of the Constellation Program with Robotic Landers and Rovers",,2007-10-00,"Kring, D. A.",
2007LPICo1371.3038D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3038.pdf,Lunar Commercial Communications Enabled by the International Lunar Observatory / ILO Association,,2007-10-00,"Durst, S. M.; Mendell, W. W.; Gonella, M.",
2007LPICo1371.3039C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3039.pdf,Possible Mafic Patches at Mons Malapert and Scott Crater Highlight the Value of Site Selection Studies,,2007-10-00,"Cooper, B. L.",
2007LPICo1371.3040B,https://www.lpi.usra.edu/meetings/leag2007/pdf/3040.pdf,Is a LEO Propellant Depot Commercially Viable?,,2007-10-00,"Bienhoff, D. G.",
2007LPICo1371.3041G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3041.pdf,Priorities for Demonstrating Lunar ISRU Capabilities,,2007-10-00,"Gertsch, L. S.",
2007LPICo1371.3042D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3042.pdf,The Role of Robotic Missions in a Lunar Outpost Strategy,,2007-10-00,"Duke, M. B.",
2007LPICo1371.3043B,https://www.lpi.usra.edu/meetings/leag2007/pdf/3043.pdf,Lunar Surface Field Exploration Infrastructure Systems Requirements Development - Results of a Decade of Analog Lunar Surface Exploration,,2007-10-00,"Braham, S. P.; Pires, M. P.",
2007LPICo1371.3044W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3044.pdf,Exploration Architecture Validation Through Analog Missions - A Canadian Perspective,,2007-10-00,"Williamson, M. -C.; Hipkin, V.; Lebeuf, M.; Berinstain, A.",
2007LPICo1371.3045J,https://www.lpi.usra.edu/meetings/leag2007/pdf/3045.pdf,Testing the Terminal Cataclysm Hypothesis with Samples from the South Pole-Aitken Basin,,2007-10-00,"Jolliff, B. L.; Papanastassiou, D. A.; Cohen, B. A.",
2007LPICo1371.3046E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3046.pdf,Enabling Exploration: Robotic Site Surveys and Prospecting for Hydrogen,,2007-10-00,"Elphic, R. C.; Kobayashi, L.; Allen, M.; Bualat, M.; Deans, M.; Fong, T.; Lee, S.; To, V.; Utz, H.",
2007LPICo1371.3047M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3047.pdf,Exploration of Carbon-bearing Materials on the Moon,,2007-10-00,"Miura, Y.",
2007LPICo1371.3048D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3048.pdf,Robotic Components and Subsystems Enabling Lunar Exploration: Status Update,,2007-10-00,"Davis, K.; Paulsen, G. L.; Zacny, K.",
2007LPICo1371.3049J,https://www.lpi.usra.edu/meetings/leag2007/pdf/3049.pdf,Aristarchus Plateau as an Outpost Location,,2007-10-00,"Jolliff, B. L.; Zhang, J.",
2007LPICo1371.3050D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3050.pdf,ESMD Commercial Development Strategy Overview,,2007-10-00,"Davidian, K.",
2007LPICo1371.3052E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3052.pdf,Meteorite Collection on the Lunar Surface,,2007-10-00,"Erikson, L.; Baker, D.; Rance, W. L.; Spahr, E.; Abbud-Madrid, A.; Heeley, M. B.",
2007LPICo1371.3053S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3053.pdf,Lunar Sample Return: Reprise,,2007-10-00,"Schmitt, H. H.",
2007LPICo1371.3054P,https://www.lpi.usra.edu/meetings/leag2007/pdf/3054.pdf,Site Selection for the Lunar Outpost,,2007-10-00,"Plescia, J. B.",
2007LPICo1371.3055W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3055.pdf,Planetary Raman Spectroscopy for Surface Exploration and In Situ Resource Utilization on the Moon,,2007-10-00,"Wang, A.; Ling, Z. C.; Jolliff, B. L.",
2007LPICo1371.3056J,https://www.lpi.usra.edu/meetings/leag2007/pdf/3056.pdf,"Recommendations from the Workshop on Science Associated with the Lunar Exploration Architecture, Tempe, Arizona, 2/27-3/2, 2007",,2007-10-00,"Jolliff, B. L.",
2007LPICo1371.3057G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3057.pdf,Lunar Outpost Site Selection: A Review of the Past 20 Years,,2007-10-00,"Gruener, J. E.",
2007LPICo1371.3058F,https://www.lpi.usra.edu/meetings/leag2007/pdf/3058.pdf,Analog Lunar Robotic Site Survey at Haughton Crater,,2007-10-00,"Fong, T.; Deans, M.; Bualat, M.; Flueckiger, L.; Allan, M.; Utz, H.; Lee, S.; To, V.; Lee, P.",
2007LPICo1371.3059W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3059.pdf,Mobile Lunar Landers and Their Implications for Science,,2007-10-00,"Wilcox, B. H.",
2007LPICo1371.3060E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3060.pdf,Interviews with Apollo Lunar Surface Astronauts in Support of Lunar Surface Exploration Systems Design,,2007-10-00,"Eppler, D.",
2007LPICo1371.3061E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3061.pdf,Management of Future Lunar Samples: Back to Basics,,2007-10-00,"Eppler, D.",
2007LPICo1371.3062F,https://www.lpi.usra.edu/meetings/leag2007/pdf/3062.pdf,Site Selection and Lunar Outpost: SMART-1 Results and ESA Studies,,2007-10-00,"Foing, B.",
2007LPICo1371.3063H,https://www.lpi.usra.edu/meetings/leag2007/pdf/3063.pdf,Toward a 1GWe of Solar Energy on and from the Moon by 2020,,2007-10-00,"Heiss, K. P.",
2007LPICo1371.3064S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3064.pdf,NASA ISRU Incorporation and Development Plans,,2007-10-00,"Sanders, G.",
2007LPICo1371.3065P,https://www.lpi.usra.edu/meetings/leag2007/pdf/3065.pdf,CSA Concepts and Plans for Sustained Lunar Exploration and Surface Operations,,2007-10-00,"Piedboeuf, J. -C.",
2007LPICo1371.3066M,https://www.lpi.usra.edu/meetings/leag2007/pdf/3066.pdf,SELENE Status and ISRU Activity in Japan,,2007-10-00,"Matsui, K.",
2007LPICo1371.3067E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3067.pdf,ISRU and Potential Mass and Cost Impacts on Sustained Lunar Exploration,,2007-10-00,"Easter, B.",
2007LPICo1371.3068C,https://www.lpi.usra.edu/meetings/leag2007/pdf/3068.pdf,ISRU Development Roadmap - AIAA Perspective,,2007-10-00,"Clark, D. L.",
2007LPICo1371.3069W,https://www.lpi.usra.edu/meetings/leag2007/pdf/3069.pdf,International-Commercial Involvement in Lunar Robotic Mission,,2007-10-00,"Wilks, R.",
2007LPICo1371.3070L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3070.pdf,"Astronaut Training, What We Did, Why It Worked, and What Can Be Done Better",,2007-10-00,"Lofgren, G.",
2007LPICo1371.3071G,https://www.lpi.usra.edu/meetings/leag2007/pdf/3071.pdf,Lunar Site Selection Process Definition in LAT-2,,2007-10-00,"Gershman, R.",
2007LPICo1371.3072L,https://www.lpi.usra.edu/meetings/leag2007/pdf/3072.pdf,Outpost Site Selection for In-Situ Resource Utilization,,2007-10-00,"Larson, W. E.",
2007LPICo1371.3073K,https://www.lpi.usra.edu/meetings/leag2007/pdf/3073.pdf,"Proposal for a Lunar Exploration Science Campaign: A Commercial-leveraged, Science-focused, Frequent Lunar Mission Program",,2007-10-00,"Kelso, R. M.; Schmidt, G.",
2007LPICo1371.3074D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3074.pdf,Automated Subsurface Sample Acquisition Technologies for Lunar Exploration,,2007-10-00,"Davis, K.",
2007LPICo1371.3075B,https://www.lpi.usra.edu/meetings/leag2007/pdf/3075.pdf,Feed Forward to Mars: Implications for Lunar Outpost Site Selection and the Nature of the Activity to be Carried Out There,,2007-10-00,"Beaty, D. W.",
2007LPICo1371.3076J,https://www.lpi.usra.edu/meetings/leag2007/pdf/3076.pdf,Science Criteria for Lunar Outpost Site Selection and an Example,,2007-10-00,"Jolliff, B.",
2007LPICo1371.3077D,https://www.lpi.usra.edu/meetings/leag2007/pdf/3077.pdf,Lunar Commercial Communications Enabled by the International Lunar Observatory/ILO Association,,2007-10-00,"Durst, S.",
2007LPICo1371.3078E,https://www.lpi.usra.edu/meetings/leag2007/pdf/3078.pdf,"Incremental Steps from Earth to Lunar Commerce: How to Do It, and How to Pay for It, One Step at a Time",,2007-10-00,"Eckert, P.",
2007LPICo1371.3079R,https://www.lpi.usra.edu/meetings/leag2007/pdf/3079.pdf,The New Race to the Moon - Building Bridges for Lunar Commerce,,2007-10-00,"Richards, R. D.",
2007LPICo1371.3080S,https://www.lpi.usra.edu/meetings/leag2007/pdf/3080.pdf,Arctic Mars Analogue Svalbard Expedition: Testing Robotic and Human Space Flight Instrumentation in the Arctic,,2007-10-00,"Steele, A.",
2007LPICo1371.3081T,https://www.lpi.usra.edu/meetings/leag2007/pdf/3081.pdf,Robotic Technologies for Lunar Exploration,,2007-10-00,"Teti, F.",
2007M&PSA..42.5043P,https://www.lpi.usra.edu/meetings/metsoc2007/pdf/5043.pdf,Postimpact Biotic Recovery Inside the Late Eocene Chesapeake Bay Submarine Impact Crater,,2007-08-00,"Poag, C. W.",
2008LPICo1446...15A,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4128.pdf,NASA's Lunar Science Program: An Overview,,2008-10-00,"Adams, J.",
2008LPICo1446...16A,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4096.pdf,Developing an Aerial Transport Infrastructure for Lunar Exploration,,2008-10-00,"Akin, D. L.",
2008LPICo1446...17A,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4103.pdf,Lunette: A Global Network of Small Lunar Landers,,2008-10-00,"Alkalai, L.; Elliott, J.",
2008LPICo1446...18A,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4052.pdf,International Standards and the NASA Lunar Geodesy and Cartography Working Group,,2008-10-00,"Archinal, B.; Acton, C.; Bussey, B.; Campbell, B.; Chin, G.; Colaprete, A.; Cook, A.; Despan, D.; French, R.; Gaddis, L.; Kirk, R.; Mendell, W.; Lemoine, F.; Nall, M.; Oberst, J.; Plescia, J.; Robinson, M.; Smith, D.; Snook, K.; Sweetser, T.; Vondrak, R.; Wargo, M.; Williams, J.",
2008LPICo1446...19A,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4030.pdf,Phoenix Lander Implications on In Situ Resource Utilization for Robotic Exploration of Mars,,2008-10-00,"Ash, R. L.",
2008LPICo1446...20B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4079.pdf,From the Global Exploration Strategy (GES) to the International Space Exploration Working Group (ISECG),,2008-10-00,"Baltuck, M.; Curtis, J. W.; Espinasse, S.; Favier, J. J.; Gibbs, G.; Hufenbach, B.; Kawaguchi, J.; Lorenzoni, A.; Newman, N. R.; Parker, D.; Yoder, G. L.",
2008LPICo1446...21B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4113.pdf,Characterizing the LCROSS Impact Site,,2008-10-00,"Bart, G. D.; Colaprete, A.",
2008LPICo1446...22B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4124.pdf,Project TURTLE: Terrapin Undergraduate Rover for Terrestrial Lunar Exploration,,2008-10-00,"Berg, D.; Briscoe, J.; Chandhok, K.; Coello, E.; Colver, J.; Cox, A.; Douglas, S.; Ellsberry, A.; Fields, S.; Gers, D.; Hasnain, Z.; Hasain, A.; Kirk, M.; Laing, J.; Lam, M.; Leggett, J.; Levashov, M.; Levin, R.; Lisee, J.; Manning, O.; Mariano, T.; Mayerovitch, J.; McCall, B.; McLaren, D.; Mirvis, A.; Murphy, R.; Nacev, A.; Oberoi, H.; Onukwubiri, U.; Petillo, S.; Russell, T.; Schaffer, M.; Shishineh, A. -R.; Zwillinger, J.",
2008LPICo1446...23B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4093.pdf,Assessing Safe Lunar Landing Site Statistics with Synthetic DEMs,,2008-10-00,"Blewett, D. T.; Patterson, G. W.; McGovern, J. A.; Lopez, N. R.",
2008LPICo1446...24B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4115.pdf,Constraints on the Pre-Design of a Minimal Human Lunar Outpost,,2008-10-00,"Boche-Sauvan, L.; Foing, B. H.",
2008LPICo1446...25B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4074.pdf,"Complex Architectural Concept and Technology for Creating Buildings of Great Inner Space on the Moon, with Low Asset Requirement and High Efficiency",,2008-10-00,"Boldoghy, B.; Kummert, J.; Varga, T. P.; Szilágyi, I.; Darányi, I.; Bérczi, Sz.; Varga, T. N.; Hudoba, G.",
2008LPICo1446...26B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4116.pdf,Geological and Geochemical Study of South Pole-Aitken Basin and Future Sample Return Missions,,2008-10-00,"Borst, A. M.; Bexkens, F.; Foing, B. H.",
2008LPICo1446...27B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4060.pdf,Lunar Concrete as a Means of Reducing the Dust Hazard,,2008-10-00,"Boulware, J. C.; Angomas, F.",
2008LPICo1446...28B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4130.pdf,Optimizing Science and Exploration on the Moon,,2008-10-00,"Broadwell, M.",
2008LPICo1446...29B,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4048.pdf,The Development and Perspectives of Bio-ISRU,,2008-10-00,"Brown, I. I.; Garrison, D. H.; Jones, J. A.; Allen, C. C.; Sanders, G.; Sarkisova, S. A.; McKay, D. S.",
2008LPICo1446...30C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4100.pdf,A Dust Mitigation Vehicle Utilizing Direct Solar Heating,,2008-10-00,"Cardiff, E. H.; Hall, B. C.",
2008LPICo1446...31C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4084.pdf,In-Situ Production of Oxygen Through Lunar Regolith Pyrolysis,,2008-10-00,"Cardiff, E. H.; Maciel, T. R.; Banks, I. S.",
2008LPICo1446...32C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4022.pdf,Lunar Surface Explorations Scenarios,,2008-10-00,"Carey, W.; Hufenbach, B.; Mongrard, O.; Haese, M.",
2008LPICo1446...33C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4037.pdf,The MoonNEXT Mission: A European Lander at the Lunar South Pole,,2008-10-00,"Carpenter, J. D.; Houdou, B.; Koschny, D.; Crawford, I.; Falcke, H.; Kempf, S.; Lognonne, P.; Ricci, C.; Pradier, A.",
2008LPICo1446...34C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4090.pdf,Lunar Dust Effects on Spacesuit Systems: Insights from the Apollo Spacesuits,,2008-10-00,"Christoffersen, R.; Lindsay, J. F.; Noble, S. K.; Lawrence, J. A.",
2008LPICo1446...35C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4086.pdf,Enabling Minimal Mass Science Packages for Lunar Surface Studies,,2008-10-00,"Clark, P. E.; Lewis, R.; Millar, P. S.; Yeh, P. S.; Lorenz, J.; Feng, S.; Powell, W.; Beaman, B.; Choi, M.; Cooper, L.; Leshin, L.",
2008LPICo1446...36C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4122.pdf,Lunar Soil Erosion Physics for Landing Rockets on the Moon,,2008-10-00,"Clegg, R. N.; Metzger, P. T.; Huff, S.; Roberson, L. B.",
2008LPICo1446...37C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4117.pdf,The International Lunar Network,,2008-10-00,"Cohen, B. A.; Iln Science Definition Team; Msfc/Apl Iln Engineering Team",
2008LPICo1446...39C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4050.pdf,An Overview of the Lunar Crater Observation and Sensing Satellite (LCROSS) Mission - An ESMD Mission to Investigate Lunar Polar Hydrogen,,2008-10-00,"Colaprete, A.; Briggs, G.; Ennico, K.; Wooden, D.; Heldmann, J.; Sollitt, L.; Asphaug, E.; Korycansky, D.; Schultz, P.; Christensen, A.; Galal, K.",
2008LPICo1446...40C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4127.pdf,Planetary Protection for the Moon: Policy and Implementation,,2008-10-00,"Conley, C.",
2008LPICo1446...41C,https://www.lpi.usra.edu/meetings/leagilewg2008/pdf/4006.pdf,Exploring the Basaltic Lava Flows of Oceanus Procellarum: Requirements for an Exploration Architecture that Optimises Scientific Return from Geological Field Activities,,2008-10-00,"Crawford, I. A.; Fagents, S. A.; Joy, K. H.",
